index,m,n,rain_z,rain_aep,mean_rain_mm,tp,storm_method,tp_frequency,il_p,il_scaling,initial_loss,cl_p,cl_scaling,continuing_loss,preburst_p,preburst_proportion,preburst_mm,residual_depth,embedded_bursts,lake_z,ADV,inflow
135,13,5,3.314085067296763,2175.248,1547.2,4,GSDM,rare,0.3969,1.979,59.4,0.9676,1.561,3.12,0.3564,0.0867,134.1,74.7,No embedded bursts,-0.56935,117920.0,3240.7
136,13,6,3.3385432596753373,2374.763,1568.2,4,GSDM,rare,0.2446,2.444,73.3,0.1005,0.521,1.04,0.2357,0.0344,53.9,0.0,No embedded bursts,-1.4673,90981.0,3344.6
137,13,7,3.3630014520539113,2594.035,1589.4,9,GTSMR,rare,0.7849,0.796,23.9,0.7842,1.341,2.68,0.4891,0.0834,132.6,108.7,No embedded bursts,0.5601,151803.0,2836.9
138,13,8,3.387459644432485,2835.146,1610.9,5,GTSMR,rare,0.8125,0.712,21.4,0.4839,0.981,1.96,0.8274,0.0801,129.0,107.6,No embedded bursts,0.09626,137888.0,3613.2
139,13,9,3.411917836811059,3100.412,1632.7,1,GSDM,rare,0.8882,0.481,14.4,0.907,1.488,2.98,0.6376,0.0441,72.0,57.6,No embedded bursts,1.53981,181194.0,3184.4
140,14,0,3.436376029189633,3392.406,1654.9,8,GSDM,rare,0.1132,2.845,85.4,0.0972,0.517,1.03,0.3888,0.0232,38.4,0.0,No embedded bursts,0.45205,148562.0,2782.4
141,14,1,3.460834221568207,3713.991,1677.3,6,GSDM,rare,0.6041,1.347,40.4,0.5436,1.052,2.1,0.5965,0.0319,53.5,13.1,No embedded bursts,1.13873,169162.0,2510.9
142,14,2,3.4852924139467807,4068.352,1700.0,3,GSDM,rare,0.4272,1.887,56.6,0.8776,1.453,2.91,0.2794,0.0305,51.8,0.0,No embedded bursts,-0.41817,122455.0,3643.3
143,14,3,3.5097506063253547,4459.039,1723.0,6,GTSMR,rare,0.8936,0.465,14.0,0.8164,1.38,2.76,0.1591,0.0568,97.9,83.9,No embedded bursts,-0.09911,132027.0,3481.7
144,14,4,3.534208798703928,4890.001,1746.3,6,GSDM,rare,0.6831,1.107,33.2,0.8186,1.382,2.76,0.8184,0.1461,255.1,221.9,No embedded bursts,0.14338,139301.0,5114.2
145,14,5,3.5586669910825024,5365.645,1770.0,7,GSDM,rare,0.5334,1.563,46.9,0.8138,1.377,2.75,0.1156,0.0121,21.4,0.0,No embedded bursts,-0.86775,108968.0,4263.9
146,14,6,3.5831251834610764,5890.881,1794.0,6,GTSMR,rare,0.927,0.363,10.9,0.5469,1.056,2.11,0.3354,0.1217,218.3,207.4,No embedded bursts,0.26889,143067.0,3623.3
147,14,7,3.6075833758396505,6471.188,1818.3,0,GSDM,rare,0.1955,2.594,77.8,0.0698,0.484,0.97,0.7695,0.0626,113.8,36.0,No embedded bursts,-0.26204,127139.0,4248.6
148,14,8,3.6320415682182237,7112.684,1842.9,5,GSDM,rare,0.5006,1.663,49.9,0.426,0.911,1.82,0.3332,0.1001,184.5,134.6,No embedded bursts,1.5512,181536.0,4335.4
149,14,9,3.6564997605967977,7822.197,1867.8,8,GSDM,rare,0.7086,1.029,30.9,0.4018,0.882,1.76,0.8843,0.0016,3.0,0.0,No embedded bursts,0.14276,139283.0,4006.7
150,15,0,3.680957952975372,8607.358,1893.1,1,GTSMR,rare,0.9427,0.315,9.4,0.6894,1.227,2.45,0.4981,0.0168,31.8,22.4,No embedded bursts,0.03759,136128.0,3818.7
151,15,1,3.7054161453539463,9476.699,1918.8,6,GTSMR,rare,0.9266,0.364,10.9,0.6251,1.15,2.3,0.2972,0.0275,52.8,41.9,No embedded bursts,-0.3661,124017.0,2813.2
152,15,2,3.7298743377325194,10439.76,1944.8,6,GTSMR,rare,0.1863,2.622,78.7,0.3016,0.762,1.52,0.2202,0.0388,75.5,0.0,No embedded bursts,-1.67714,84686.0,5251.0
153,15,3,3.7543325301110935,11507.215,1971.1,0,GSDM,rare,0.454,1.805,54.2,0.8434,1.412,2.82,0.8725,0.1271,250.5,196.3,No embedded bursts,1.6942,185826.0,4038.3
154,15,4,3.7787907224896675,12691.016,1997.8,2,GSDM,rare,0.1377,2.77,83.1,0.8528,1.423,2.85,0.5634,0.0987,197.2,114.1,No embedded bursts,-1.19823,99053.0,5327.0
155,15,5,3.803248914868242,14004.55,2024.8,7,GSDM,rare,0.7601,0.872,26.2,0.3512,0.821,1.64,0.3523,0.0787,159.4,133.2,No embedded bursts,-0.11746,131476.0,4070.6
156,15,6,3.827707107246815,15462.817,2052.3,3,GTSMR,rare,0.5132,1.625,48.8,0.0331,0.44,0.88,0.8557,0.1073,220.2,171.4,No embedded bursts,1.23071,171921.0,5524.9
157,15,7,3.8521652996253892,17082.637,2080.1,0,GTSMR,rare,0.3875,2.008,60.2,0.0486,0.458,0.92,0.3078,0.0744,154.8,94.6,No embedded bursts,0.32854,144856.0,3963.5
158,15,8,3.876623492003963,18882.877,2108.2,9,GTSMR,rare,0.5062,1.646,49.4,0.9005,1.481,2.96,0.7915,0.0364,76.7,27.3,No embedded bursts,-2.00152,74954.0,5253.5
159,15,9,3.901081684382537,20884.712,2136.8,0,GTSMR,rare,0.7915,0.776,23.3,0.2592,0.711,1.42,0.1636,0.0069,14.7,0.0,No embedded bursts,0.24836,142451.0,4105.0
160,16,0,3.925539876761111,23111.92,2165.7,8,GTSMR,rare,0.4436,1.837,55.1,0.0453,0.454,0.91,0.6291,0.0719,155.7,100.6,No embedded bursts,-1.35668,94300.0,4980.2
161,16,1,3.949998069139684,25591.213,2195.0,5,GTSMR,rare,0.4317,1.873,56.2,0.5789,1.095,2.19,0.6778,0.004,8.8,0.0,No embedded bursts,1.89286,190000.0,4627.8
162,16,2,3.9744562615182586,28352.618,2224.8,1,GSDM,rare,0.1886,2.615,78.4,0.2139,0.657,1.31,0.6171,0.0036,8.0,0.0,No embedded bursts,0.05052,136516.0,3863.7
163,16,3,3.998914453896833,31429.9,2254.9,5,GSDM,rare,0.5501,1.512,45.4,0.7997,1.36,2.72,0.6732,0.0416,93.8,48.4,No embedded bursts,0.12666,138800.0,7306.4
164,16,4,4.023372646275407,34861.053,2285.4,1,GSDM,rare,0.0632,2.997,89.9,0.3983,0.878,1.76,0.6122,0.046,105.1,15.2,No embedded bursts,0.88531,161559.0,6415.7
165,16,5,4.04783083865398,38688.847,2316.4,8,GTSMR,rare,0.7273,0.972,29.2,0.3257,0.791,1.58,0.1635,0.0166,38.5,9.3,No embedded bursts,-0.49732,120080.0,5585.4
166,16,6,4.072289031032554,42961.453,2347.8,0,GTSMR,rare,0.0516,3.033,91.0,0.0577,0.469,0.94,0.1169,0.0649,152.4,61.4,No embedded bursts,-0.4826,120522.0,5037.3
167,16,7,4.096747223411128,47733.154,2379.6,3,GTSMR,rare,0.7234,0.984,29.5,0.6501,1.18,2.36,0.35,0.109,259.4,229.9,No embedded bursts,-1.36798,93961.0,5522.0
168,16,8,4.121205415789702,53065.152,2411.8,4,GTSMR,rare,0.914,0.402,12.1,0.8232,1.388,2.78,0.74,0.1196,288.5,276.4,No embedded bursts,-0.12133,131360.0,7159.4
169,16,9,4.145663608168276,59026.483,2444.5,4,GTSMR,rare,0.8132,0.71,21.3,0.4145,0.897,1.79,0.7421,0.0513,125.4,104.1,No embedded bursts,0.22198,141659.0,5639.9
170,17,0,4.17012180054685,65695.062,2477.6,5,GTSMR,rare,0.9994,0.142,4.3,0.6793,1.215,2.43,0.7837,0.02,49.6,45.3,No embedded bursts,1.06796,167039.0,6508.3
171,17,1,4.194579992925424,73158.866,2511.1,8,GTSMR,rare,0.426,1.891,56.7,0.6765,1.212,2.42,0.8696,0.0571,143.4,86.7,No embedded bursts,-0.73021,113094.0,5161.6
172,17,2,4.219038185303998,81517.291,2545.1,6,GTSMR,rare,0.6415,1.233,37.0,0.5725,1.087,2.17,0.467,0.118,300.3,263.3,No embedded bursts,-1.94644,76607.0,4743.7
173,17,3,4.243496377682572,90882.683,2579.6,0,GSDM,rare,0.5456,1.526,45.8,0.8034,1.364,2.73,0.2383,0.1018,262.6,216.8,No embedded bursts,0.2591,142773.0,4832.7
174,17,4,4.267954570061145,101382.097,2614.5,7,GTSMR,rare,0.9623,0.255,7.6,0.8966,1.476,2.95,0.156,0.0337,88.1,80.5,No embedded bursts,-1.24771,97569.0,7936.9
175,17,5,4.29241276243972,113159.295,2649.9,1,GSDM,rare,0.8559,0.58,17.4,0.641,1.169,2.34,0.5512,0.0359,95.1,77.7,No embedded bursts,0.37949,146385.0,6410.4
176,17,6,4.316870954818293,126377.023,2685.8,9,GSDM,rare,0.1071,2.863,85.9,0.7087,1.25,2.5,0.225,0.0946,254.1,168.2,No embedded bursts,1.4611,178833.0,7043.8
177,17,7,4.341329147196867,141219.619,2722.2,0,GSDM,rare,0.5025,1.657,49.7,0.1025,0.523,1.05,0.8543,0.0316,86.0,36.3,No embedded bursts,-0.40557,122833.0,4983.8
178,17,8,4.365787339575442,157895.98,2759.1,5,GSDM,rare,0.7303,0.963,28.9,0.7217,1.266,2.53,0.413,0.1329,366.7,337.8,No embedded bursts,-0.68724,114383.0,5556.4
179,17,9,4.390245531954015,176642.956,2796.4,8,GTSMR,rare,0.9707,0.229,6.9,0.6469,1.176,2.35,0.5924,0.0797,222.9,216.0,No embedded bursts,-1.38047,93586.0,7947.0
180,18,0,4.41470372433259,197729.233,2834.3,0,GTSMR,rare,0.3328,2.175,65.2,0.239,0.687,1.37,0.6243,0.022,62.4,0.0,No embedded bursts,0.43171,147951.0,6854.0
181,18,1,4.4391619167111624,221459.768,2872.7,2,GTSMR,rare,0.898,0.451,13.5,0.4053,0.886,1.77,0.8566,0.0304,87.3,73.8,No embedded bursts,1.03438,166031.0,6923.4
182,18,2,4.463620109089737,248180.863,2911.6,5,GTSMR,rare,0.9918,0.165,5.0,0.4421,0.931,1.86,0.2299,0.0186,54.2,49.2,No embedded bursts,-2.05001,73500.0,8223.5
183,18,3,4.488078301468311,278285.976,2951.0,4,GTSMR,rare,0.2569,2.406,72.2,0.188,0.626,1.25,0.5314,0.077,227.2,155.0,No embedded bursts,0.38182,146455.0,7504.7
184,18,4,4.512536493846884,312222.374,2991.0,0,GSDM,rare,0.5605,1.48,44.4,0.4007,0.881,1.76,0.8095,0.0567,169.6,125.2,No embedded bursts,0.42418,147725.0,5439.3
185,18,5,4.536994686225459,350498.754,3031.5,4,GSDM,rare,0.7373,0.941,28.2,0.0743,0.489,0.98,0.6125,0.1215,368.3,340.1,No embedded bursts,-0.41545,122536.0,10172.8
186,18,6,4.561452878604031,393693.985,3072.5,6,GTSMR,rare,0.4363,1.859,55.8,0.6355,1.163,2.33,0.7741,0.1285,394.8,339.0,No embedded bursts,-1.33257,95023.0,10305.3
187,18,7,4.585911070982606,442467.127,3114.2,2,GTSMR,rare,0.1019,2.879,86.4,0.5675,1.081,2.16,0.5512,0.0542,168.8,82.4,No embedded bursts,0.00919,135276.0,6532.4
188,18,8,4.61036926336118,497568.932,3156.3,0,GTSMR,rare,0.5329,1.565,46.9,0.8298,1.396,2.79,0.7254,0.1424,449.5,402.6,No embedded bursts,0.35485,145646.0,8758.1
189,18,9,4.634827455739754,559855.047,3199.1,4,GTSMR,rare,0.7905,0.779,23.4,0.8673,1.441,2.88,0.847,0.0012,3.8,0.0,No embedded bursts,0.14259,139278.0,8727.0
190,19,0,4.659285648118328,630301.179,3242.4,5,GSDM,rare,0.7233,0.984,29.5,0.2036,0.644,1.29,0.3904,0.0115,37.3,7.8,No embedded bursts,-0.56091,118173.0,9581.8
191,19,1,4.683743840496901,710020.525,3286.3,5,GSDM,rare,0.3198,2.215,66.4,0.331,0.797,1.59,0.39,0.0293,96.3,29.9,No embedded bursts,-0.94016,106795.0,9681.4
192,19,2,4.708202032875476,800283.805,3330.8,5,GTSMR,rare,0.5386,1.547,46.4,0.6464,1.176,2.35,0.1047,0.1179,392.7,346.3,No embedded bursts,-1.07801,102660.0,7992.1
193,19,3,4.73266022525405,902542.32,3375.9,2,GSDM,rare,0.9538,0.281,8.4,0.9623,1.555,3.11,0.3824,0.0968,326.8,318.4,No embedded bursts,-0.50192,119942.0,11300.0
194,19,4,4.757118417632623,1018454.478,3421.6,6,GTSMR,rare,0.9114,0.41,12.3,0.9669,1.56,3.12,0.3129,0.1102,377.1,364.8,No embedded bursts,-0.06646,133006.0,8969.2
195,19,5,4.781576610011197,1149916.344,3468.0,3,GSDM,rare,0.419,1.912,57.4,0.4523,0.943,1.89,0.7879,0.0215,74.6,17.2,No embedded bursts,-0.71085,113674.0,15790.0
196,19,6,4.806034802389771,1299096.839,3514.9,0,GSDM,rare,0.0164,3.14,94.2,0.8729,1.447,2.89,0.5634,0.1097,385.6,291.4,No embedded bursts,2.08243,190000.0,9603.1
197,19,7,4.8304929947683455,1468478.308,3562.6,8,GTSMR,rare,0.9048,0.43,12.9,0.8844,1.461,2.92,0.1658,0.0144,51.3,38.4,No embedded bursts,0.76073,157822.0,9545.8
198,19,8,4.854951187146919,1660903.311,3610.8,7,GSDM,rare,0.8207,0.687,20.6,0.9719,1.566,3.13,0.8093,0.0414,149.5,128.9,No embedded bursts,0.50128,150038.0,8036.7
199,19,9,4.879409379525493,1879628.604,3659.7,5,GSDM,rare,0.0239,3.117,93.5,0.1903,0.628,1.26,0.1677,0.0561,205.3,111.8,No embedded bursts,0.04197,136259.0,12074.7
